335n 336n etc,31,K-Secondary = S06,335%x30-36,Logistic volume,,
337(***),32,337%x30-36,337%x30-36,Kilograms per square metre,KG PER m²,6n
390n or 391n,33,390%x30-39 / 391%x30-39,390%x30-39 / 391%x30-39,Amount payable - single monetary area or with ISO currency code,AMOUNT,1*15n / 4*18n
392n or 393n,34,392%x30-39 / 393%x30-39,392%x30-39 / 393%x30-39,Amount payable for Variable Measure Trade Item - single monetary unit or ISO cc, PRICE,1*15n / 4*18n
400,35,400,400,Customer's purchase order number,ORDER NUMBER,1*30an
401,36,401,401,Global Identification Number for Consignment,GINC,1*30an
402,37,402,402,Global Shipment Identification Number,GSIN,17n
403,38,403,403,Routing code,ROUTE,1*30an
410,39,410,410,Ship to - deliver to Global Location Number ,SHIP TO LOC,13n
411,40,411,411,Bill to - invoice to Global Location Number,BILL TO ,13n
412,41,412,412,Purchased from Global Location Number,PURCHASE FROM,13n
413,42,413,413,Ship for - deliver for - forward to Global Location Number,SHIP FOR LOC,13n
414 and 254,43,(414) [254],(414) [254],"Identification of a physical location GLN, and optional Extension",LOC No + GLN EXTENSION,(13n) [1*20an]
415 and 8020,44,(415) (8020),(415) (8020),Global Location Number of the Invoicing Party and Payment Slip Reference Number,PAY + REF No,(13n) (1*25an)
420 or 421,45,(420/421),(420/421),Ship to - deliver to postal code,SHIP TO POST,(1*20an / 3n 1*9an)
422,46,422,422,Country of origin of a trade item,ORIGIN,3n
423,47,423,423,Country of initial processing,COUNTRY - INITIAL PROCESS.,3*15n
424,48,424,424,Country of processing,COUNTRY - PROCESS.,3n
425,49,425,425,Country of disassembly,COUNTRY - DISASSEMBLY,3n
426,50,426,426,Country covering full process chain,COUNTRY - FULL PROCESS,3n
7001,51,7001,7001,NATO stock number,NSN,13n
7002,52,7002,7002,UN/ECE meat carcasses and cuts classification,MEAT CUT,1*30an
7003,53,7003,7003,Expiration Date and Time,EXPIRY DATE/TIME,10n
7004,54,7004,7004,Active Potency,ACTIVE POTENCY,1*4n
703s,55,7030,7030,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,56,7031,7031,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,57,7032,7032,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,58,7033,7033,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,59,7034,7034,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,60,7035,7035,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,61,7036,7036,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,62,7037,7037,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,63,7038,7038,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
703s,64,7039,7039,Approval number of processor with ISO country code,PROCESSOR # s,3n 1*27an
8001,65,8001,8001,"Roll products - width, length, core diameter, direction, and splices",DIMENSIONS,14n
8002,66,8002,8002,Electronic serial identifier for cellular mobile telephones,CMT No,1*20an
8003,67,8003,8003,Global Returnable Asset Identifier,GRAI,14n 0*16an
8004,68,8004,8004,Global Individual Asset Identifier,GIAI,1*30an
8005,69,8005,8005,Price per unit of measure,PRICE PER UNIT,6n
8006,70,8006,8006,Identification of the component of a trade item,GCTIN,18n
8007,71,8007,8007,International Bank Account Number ,IBAN,1*30an
8008,72,8008,8008,Date and time of production,PROD TIME,8*12n
8018,73,8018,8018,Global Service Relation Number - Recipient,GSRN - RECIPIENT,18n
8100 8101 etc,74,K-Secondary = S08,,Coupon Codes,,
90,75,90,90,Information mutually agreed between trading partners (including FACT DIs),INTERNAL,1*30an
91,76,91,91,Company internal information,INTERNAL,1*30an
92,77,92,92,Company internal information,INTERNAL,1*30an
93,78,93,93,Company internal information,INTERNAL,1*30an
94,79,94,94,Company internal information,INTERNAL,1*30an
95,80,95,95,Company internal information,INTERNAL,1*30an
96,81,96,96,Company internal information,INTERNAL,1*30an
97,82,97,97,Company internal information,INTERNAL,1*30an
98,83,98,98,Company internal information,INTERNAL,1*30an
99,84,99,99,Company internal information,INTERNAL,1*30an
nnn,85,K-Secondary = S12,,Additional AIs,,
K-TableEnd = F9B0,,,,,,
"K-Text = Sec. IDT - Net weight, kilograms or pounds or troy oz (Variable Measure Trade Item)",,,,,,
K-TableID = F9S00,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
310(***),0,310%x30-36,310%x30-36,"Net weight, kilograms (Variable Measure Trade Item)",NET WEIGHT (kg),6n
320(***),1,320%x30-36,320%x30-36,"Net weight, pounds (Variable Measure Trade Item)",NET WEIGHT (lb),6n
356(***),2,356%x30-36,356%x30-36,"Net weight, troy ounces (Variable Measure Trade Item)",NET WEIGHT (t),6n
K-TableEnd = F9S00,,,,,,
K-Text = Sec. IDT - Length of first dimension (Variable Measure Trade Item),,,,,,
K-TableID = F9S01,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
311(***),0,311%x30-36,311%x30-36,"Length of first dimension, metres (Variable Measure Trade Item)",LENGTH (m),6n
321(***),1,321%x30-36,321%x30-36,"Length or first dimension, inches (Variable Measure Trade Item)",LENGTH (i),6n
322(***),2,322%x30-36,322%x30-36,"Length or first dimension, feet (Variable Measure Trade Item)",LENGTH (f),6n
323(***),3,323%x30-36,323%x30-36,"Length or first dimension, yards (Variable Measure Trade Item)",LENGTH (y),6n
K-TableEnd = F9S01,,,,,,
"K-Text = Sec. IDT - Width, diameter, or second dimension (Variable Measure Trade Item)",,,,,,
K-TableID = F9S02,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
312(***),0,312%x30-36,312%x30-36,"Width, diameter, or second dimension, metres (Variable Measure Trade Item)",WIDTH (m),6n
324(***),1,324%x30-36,324%x30-36,"Width, diameter, or second dimension, inches (Variable Measure Trade Item)",WIDTH (i),6n
325(***),2,325%x30-36,325%x30-36,"Width, diameter, or second dimension, (Variable Measure Trade Item)",WIDTH (f),6n
326(***),3,326%x30-36,326%x30-36,"Width, diameter, or second dimension, yards (Variable Measure Trade Item)",WIDTH (y),6n
K-TableEnd = F9S02,,,,,,
"K-Text = Sec. IDT - Depth, thickness, height, or third dimension (Variable Measure Trade Item)",,,,,,
K-TableID = F9S03,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
313(***),0,313%x30-36,313%x30-36,"Depth, thickness, height, or third dimension, metres (Variable Measure Trade Item)",HEIGHT (m),6n
327(***),1,327%x30-36,327%x30-36,"Depth, thickness, height, or third dimension, inches (Variable Measure Trade Item)",HEIGHT (i),6n
328(***),2,328%x30-36,328%x30-36,"Depth, thickness, height, or third dimension, feet (Variable Measure Trade Item)",HEIGHT (f),6n
329(***),3,329%x30-36,329%x30-36,"Depth, thickness, height, or third dimension, yards (Variable Measure Trade Item)",HEIGHT (y),6n
K-TableEnd = F9S03,,,,,,
K-Text = Sec. IDT - Area (Variable Measure Trade Item),,,,,,
K-TableID = F9S04,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
314(***),0,314%x30-36,314%x30-36,"Area, square metres (Variable Measure Trade Item)",AREA (m2),6n
350(***),1,350%x30-36,350%x30-36,"Area, square inches (Variable Measure Trade Item)",AREA (i2),6n
351(***),2,351%x30-36,351%x30-36,"Area, square feet (Variable Measure Trade Item)",AREA (f2),6n
352(***),3,352%x30-36,352%x30-36,"Area, square yards (Variable Measure Trade Item)",AREA (y2),6n
K-TableEnd = F9S04,,,,,,
K-Text = Sec. IDT - Net volume (Variable Measure Trade Item),,,,,,
K-TableID = F9S05,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 8,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
315(***),0,315%x30-36,315%x30-36,"Net volume, litres (Variable Measure Trade Item)",NET VOLUME (l),6n
316(***),1,316%x30-36,316%x30-36,"Net volume, cubic metres (Variable Measure Trade Item)",NET VOLUME (m3),6n
357(***),2,357%x30-36,357%x30-36,"Net weight (or volume), ounces (Variable Measure Trade Item)",NET VOLUME (oz),6n
360(***),3,360%x30-36,360%x30-36,"Net volume, quarts (Variable Measure Trade Item)",NET VOLUME (q),6n
361(***),4,361%x30-36,361%x30-36,"Net volume, gallons U.S. (Variable Measure Trade Item)",NET VOLUME (g),6n
364(***),5,364%x30-36,364%x30-36,"Net volume, cubic inches","VOLUME (i3), log",6n
365(***),6,365%x30-36,365%x30-36,"Net volume, cubic feet (Variable Measure Trade Item)","VOLUME (f3), log",6n
366(***),7,366%x30-36,366%x30-36,"Net volume, cubic yards (Variable Measure Trade Item)","VOLUME (y3), log",6n
K-TableEnd = F9S05,,,,,,
K-Text = Sec. IDT - Logistic Volume,,,,,,
K-TableID = F9S06,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 8,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
335(***),0,335%x30-36,335%x30-36,"Logistic volume, litres","VOLUME (l), log",6n
336(***),1,336%x30-36,336%x30-36,"Logistic volume, cubic meters","VOLUME (m3), log",6n
362(***),2,362%x30-36,362%x30-36,"Logistic volume, quarts","VOLUME (q), log",6n
363(***),3,363%x30-36,363%x30-36,"Logistic volume, gallons","VOLUME (g), log",6n
367(***),4,367%x30-36,367%x30-36,"Logistic volume, cubic inches","VOLUME (q), log",6n
368(***),5,368%x30-36,368%x30-36,"Logistic volume, cubic feet","VOLUME (g), log",6n
369(***),6,369%x30-36,369%x30-36,"Logistic volume, cubic yards","VOLUME (i3), log",6n
K-TableEnd = F9S06,,,,,,
K-Text = Sec. IDT - Logistic Area,,,,,,
K-TableID = F9S07,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
334(***),0,334%x30-36,334%x30-36,"Area, square metres","AREA (m2), log",6n
353(***),1,353%x30-36,353%x30-36,"Area, square inches","AREA (i2), log",6n
354(***),2,354%x30-36,354%x30-36,"Area, square feet","AREA (f2), log",6n
355(***),3,355%x30-36,355%x30-36,"Area, square yards","AREA (y2), log",6n
K-TableEnd = F9S07,,,,,,
K-Text = Sec. IDT - Coupon Codes,,,,,,
K-TableID = F9S08,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 8,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
8100,0,8100,8100,GS1-128 Coupon Extended Code - NSC + Offer Code,-,6n
8101,1,8101,8101,GS1-128 Coupon Extended Code - NSC + Offer Code + end of offer code,-,10n
8102,2,8102,8102,GS1-128 Coupon Extended Code - NSC,-,2n
8110,3,8110,8110,Coupon Code Identification for Use in North America,,1*70an
K-TableEnd = F9S08,,,,,,
K-Text = Sec. IDT - Length or first dimension,,,,,,
K-TableID = F9S09,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
331(***),0,331%x30-36,331%x30-36,"Length or first dimension, metres","LENGTH (m), log",6n
341(***),1,341%x30-36,341%x30-36,"Length or first dimension, inches","LENGTH (i), log",6n
342(***),2,342%x30-36,342%x30-36,"Length or first dimension, feet","LENGTH (f), log",6n
343(***),3,343%x30-36,343%x30-36,"Length or first dimension, yards","LENGTH (y), log",6n
K-TableEnd = F9S09,,,,,,
"K-Text = Sec. IDT - Width, diameter, or second dimension",,,,,,
K-TableID = F9S10,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
332(***),0,332%x30-36,332%x30-36,"Width, diameter, or second dimension, metres","WIDTH (m), log",6n
344(***),1,344%x30-36,344%x30-36,"Width, diameter, or second dimension","WIDTH (i), log",6n
345(***),2,345%x30-36,345%x30-36,"Width, diameter, or second dimension","WIDTH (f), log",6n
346(***),3,346%x30-36,346%x30-36,"Width, diameter, or second dimension","WIDTH (y), log",6n
K-TableEnd = F9S10,,,,,,
"K-Text = Sec. IDT - Depth, thickness, height, or third dimension",,,,,,
K-TableID = F9S11,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 4,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
333(***),0,333%x30-36,333%x30-36,"Depth, thickness, height, or third dimension, metres","HEIGHT (m), log",6n
347(***),1,347%x30-36,347%x30-36,"Depth, thickness, height, or third dimension","HEIGHT (i), log",6n
348(***),2,348%x30-36,348%x30-36,"Depth, thickness, height, or third dimension","HEIGHT (f), log",6n
349(***),3,349%x30-36,349%x30-36,"Depth, thickness, height, or third dimension","HEIGHT (y), log",6n
K-TableEnd = F9S11,,,,,,
K-Text = Sec. IDT - Additional AIs,,,,,,
K-TableID = F9S12,,,,,,
K-RootOID = urn:oid:1.0.15961.9,,,,,,
K-IDsize = 128,,,,,,
AI or AIs,IDvalue,OIDs,IDstring,Name,Data Title,FormatString
243,0,243,243,Packaging Component Number,PCN,1*20an
255,1,255,255,Global Coupon Number,GCN,13*25n
427,2,427,427,Country Subdivision of Origin Code for a Trade Item,ORIGIN SUBDIVISION,1*3an
710,3,710,710,National Healthcare Reimbursement Number - Germany (PZN),NHRN PZN,3n 1*27an
711,4,711,711,National Healthcare Reimbursement Number - France (CIP),NHRN CIP,3n 1*27an
712,5,712,712,National Healthcare Reimbursement Number - Spain (CN),NHRN CN,3n 1*27an
713,6,713,713,National Healthcare Reimbursement Number - Brazil (DRN),NHRN DRN,3n 1*27an
8010,7,8010,8010,Component / Part Identifier,CPID,1*30an
8011,8,8011,8011,Component / Part Identifier Serial Number,CPID Serial,1*12n
8017,9,8017,8017,Global Service Relation Number - Provider,GSRN - PROVIDER,18n
8019,10,8019,8019,Service Relation Instance Number,SRIN,1*10n
8200,11,8200,8200,Extended Packaging URL,PRODUCT URL,1*70an
K-TableEnd = F9S12,,,,,,
